0, 1, 2, 765.2919704144734
1, 2, 3, 765.2919704144734
2, 3, 4, 765.2919704144734
3, 4, 5, 765.2919704144734
4, 5, 6, 765.2919704144734
5, 6, 7, 765.2919704144734
6, 7, 8, 765.2919704144734
7, 8, 9, 765.2919704144734
8, 9, 10, 765.2919704144734
9, 10, 11, 765.2919704144734
10, 11, 12, 765.2919704144734
11, 12, 13, 765.2919704144734
12, 13, 14, 765.2919704144734
13, 14, 15, 765.2919704144734
14, 15, 16, 765.2919704144734
15, 16, 17, 765.2919704144734
16, 17, 18, 765.2919704144734
17, 18, 19, 765.2919704144734
18, 19, 20, 765.2919704144734
19, 20, 21, 765.2919704144734
20, 21, 22, 765.2919704144734
21, 22, 23, 765.2919704144734
22, 23, 24, 765.2919704144734
23, 24, 25, 765.2919704144734
24, 25, 26, 765.2919704144734
25, 26, 27, 765.2919704144734
26, 27, 28, 765.2919704144734
27, 28, 29, 765.2919704144734
28, 29, 30, 765.2919704144734
29, 30, 31, 765.2919704144734
30, 31, 32, 765.2919704144734
31, 32, 33, 765.2919704144734
32, 33, 34, 765.2919704144734
33, 34, 35, 765.2919704144734
34, 35, 36, 765.2919704144734
35, 36, 37, 765.2919704144734
36, 37, 38, 765.2919704144734
37, 38, 39, 765.2919704144734
38, 39, 40, 765.2919704144734
39, 40, 41, 765.2919704144734
40, 41, 42, 765.2919704144734
41, 42, 43, 765.2919704144734
42, 43, 44, 765.2919704144734
43, 44, 45, 765.2919704144734
44, 45, 46, 765.2919704144734
45, 46, 47, 765.2919704144734
46, 47, 48, 765.2919704144734
47, 48, 49, 765.2919704144734
