0, 1, 2, 7.853981633974485e-06
1, 2, 3, 7.853981633974485e-06
2, 3, 4, 7.853981633974485e-06
3, 4, 5, 7.853981633974485e-06
4, 5, 6, 7.853981633974485e-06
5, 6, 7, 7.853981633974485e-06
6, 7, 8, 7.853981633974485e-06
7, 8, 9, 7.853981633974485e-06
8, 9, 10, 7.853981633974485e-06
9, 10, 11, 7.853981633974485e-06
10, 11, 12, 7.853981633974485e-06
11, 12, 13, 7.853981633974485e-06
12, 13, 14, 7.853981633974485e-06
13, 14, 15, 7.853981633974485e-06
14, 15, 16, 7.853981633974485e-06
15, 16, 17, 7.853981633974485e-06
16, 17, 18, 7.853981633974485e-06
17, 18, 19, 7.853981633974485e-06
18, 19, 20, 7.853981633974485e-06
19, 20, 21, 7.853981633974485e-06
20, 21, 22, 7.853981633974485e-06
21, 22, 23, 7.853981633974485e-06
22, 23, 24, 7.853981633974485e-06
23, 24, 25, 7.853981633974485e-06
24, 25, 26, 7.853981633974485e-06
25, 26, 27, 7.853981633974485e-06
26, 27, 28, 7.853981633974485e-06
27, 28, 29, 7.853981633974485e-06
28, 29, 30, 7.853981633974485e-06
29, 30, 31, 7.853981633974485e-06
30, 31, 32, 7.853981633974485e-06
31, 32, 33, 7.853981633974485e-06
32, 33, 34, 7.853981633974485e-06
33, 34, 35, 7.853981633974485e-06
34, 35, 36, 7.853981633974485e-06
35, 36, 37, 7.853981633974485e-06
36, 37, 38, 7.853981633974485e-06
37, 38, 39, 7.853981633974485e-06
38, 39, 40, 7.853981633974485e-06
39, 40, 41, 7.853981633974485e-06
40, 41, 42, 7.853981633974485e-06
41, 42, 43, 7.853981633974485e-06
42, 43, 44, 7.853981633974485e-06
43, 44, 45, 7.853981633974485e-06
44, 45, 46, 7.853981633974485e-06
45, 46, 47, 7.853981633974485e-06
46, 47, 48, 7.853981633974485e-06
47, 48, 49, 7.853981633974485e-06
