0, 1, 2, 1.570796326794897e-05
1, 2, 3, 1.570796326794897e-05
2, 3, 4, 1.570796326794897e-05
3, 4, 5, 1.570796326794897e-05
4, 5, 6, 1.570796326794897e-05
5, 6, 7, 1.570796326794897e-05
6, 7, 8, 1.570796326794897e-05
7, 8, 9, 1.570796326794897e-05
8, 9, 10, 1.570796326794897e-05
9, 10, 11, 1.570796326794897e-05
10, 11, 12, 1.570796326794897e-05
11, 12, 13, 1.570796326794897e-05
12, 13, 14, 1.570796326794897e-05
13, 14, 15, 1.570796326794897e-05
14, 15, 16, 1.570796326794897e-05
15, 16, 17, 1.570796326794897e-05
16, 17, 18, 1.570796326794897e-05
17, 18, 19, 1.570796326794897e-05
18, 19, 20, 1.570796326794897e-05
19, 20, 21, 1.570796326794897e-05
20, 21, 22, 1.570796326794897e-05
21, 22, 23, 1.570796326794897e-05
22, 23, 24, 1.570796326794897e-05
23, 24, 25, 1.570796326794897e-05
24, 25, 26, 1.570796326794897e-05
25, 26, 27, 1.570796326794897e-05
26, 27, 28, 1.570796326794897e-05
27, 28, 29, 1.570796326794897e-05
28, 29, 30, 1.570796326794897e-05
29, 30, 31, 1.570796326794897e-05
30, 31, 32, 1.570796326794897e-05
31, 32, 33, 1.570796326794897e-05
32, 33, 34, 1.570796326794897e-05
33, 34, 35, 1.570796326794897e-05
34, 35, 36, 1.570796326794897e-05
35, 36, 37, 1.570796326794897e-05
36, 37, 38, 1.570796326794897e-05
37, 38, 39, 1.570796326794897e-05
38, 39, 40, 1.570796326794897e-05
39, 40, 41, 1.570796326794897e-05
40, 41, 42, 1.570796326794897e-05
41, 42, 43, 1.570796326794897e-05
42, 43, 44, 1.570796326794897e-05
43, 44, 45, 1.570796326794897e-05
44, 45, 46, 1.570796326794897e-05
45, 46, 47, 1.570796326794897e-05
46, 47, 48, 1.570796326794897e-05
47, 48, 49, 1.570796326794897e-05
